Time(sec), Time(n_sec), robot_x, robot_y, robot_z, robot_roll, robot_pitch, robot_yaw, cam_in_robot_x, cam_in_robot_y, cam_in_robot_z, cam_in_robot_roll, cam_in_robot_pitch, cam_in_robot_yaw, cam_in_world_x, cam_in_world_y, cam_in_world_z, cam_in_world_roll, cam_in_world_pitch, cam_in_world_yaw
1649828036,500000000, 38.711551, 15.643751, 3.653152, 0.003491, 0.008727, 1.635374, 0.100000, 0.000000, 0.000000, -0.003491, -0.008727, -0.000000, 38.705098, 15.743539, 3.652279, -0.000000, 0.000000, 1.635343
1649828036,500000000, 38.711551, 15.643751, 3.653152, 0.003491, 0.008727, 1.635374, 0.100000, 0.000000, 0.000000, -0.003491, -0.008727, -0.000000, 38.705098, 15.743539, 3.652279, -0.000000, 0.000000, 1.635343
1649828036,600000000, 38.788318, 15.667437, 3.652895, 0.005236, 0.015708, 1.635374, 0.100000, 0.000000, 0.000000, -0.005236, -0.015708, 0.000000, 38.781865, 15.767216, 3.651325, -0.000001, 0.000000, 1.635291
1649828036,700000000, 38.801650, 15.691421, 3.652851, 0.003491, 0.050615, 1.635374, 0.100000, 0.000000, 0.000000, -0.003491, -0.050615, -0.000000, 38.795205, 15.791085, 3.647792, -0.000004, 0.000000, 1.635197
1649828036,800000000, 38.828217, 15.751321, 3.752763, 0.003491, 0.109956, 1.635374, 0.100000, 0.000000, 0.000000, -0.003491, -0.109956, 0.000000, 38.821803, 15.850510, 3.741789, -0.000021, 0.000001, 1.634990
1649828036,900000000, 38.833299, 15.796031, 3.752746, 0.003491, 0.146608, 1.635374, 0.100000, 0.000000, 0.000000, -0.003491, -0.146608, 0.000000, 38.826915, 15.894752, 3.738137, -0.000037, 0.000001, 1.634864
1649828037,0, 38.834631, 15.815997, 3.752741, 0.003491, 0.160570, 1.635374, 0.100000, 0.000000, 0.000000, -0.003491, -0.160570, 0.000000, 38.828260, 15.914505, 3.736753, -0.000045, 0.000001, 1.634815
1649828037,100000000, 38.826933, 15.881788, 3.752767, 0.003491, 0.164061, 1.635374, 0.100000, 0.000000, 0.000000, -0.003491, -0.164061, 0.000000, 38.820566, 15.980239, 3.736434, -0.000047, 0.000001, 1.634803
1649828037,200000000, 38.835881, 15.898465, 3.752737, 0.003491, 0.162316, 1.635374, 0.100000, 0.000000, 0.000000, -0.003491, -0.162316, -0.000000, 38.829512, 15.996944, 3.736576, -0.000046, 0.000001, 1.634809
1649828037,300000000, 38.816715, 15.985371, 3.752800, 0.003491, 0.155334, 1.635374, 0.100000, 0.000000, 0.000000, -0.003491, -0.155334, 0.000000, 38.810339, 16.083961, 3.737329, -0.000042, 0.000001, 1.634833
1649828037,400000000, 38.810877, 16.030631, 3.852820, 0.005236, 0.151844, 1.635374, 0.100000, 0.000000, 0.000000, -0.005236, -0.151844, 0.000000, 38.804498, 16.129274, 3.837694, -0.000060, 0.000002, 1.634582
1649828037,500000000, 38.781713, 16.137102, 3.852917, 0.003491, 0.148353, 1.635374, 0.100000, 0.000000, 0.000000, -0.003491, -0.148353, 0.000000, 38.775331, 16.235797, 3.838136, -0.000038, 0.000001, 1.634858
1649828037,600000000, 38.734561, 16.286021, 3.853074, 0.003491, 0.148353, 1.635374, 0.100000, 0.000000, 0.000000, -0.003491, -0.148353, 0.000000, 38.728179, 16.384717, 3.838293, -0.000038, 0.000001, 1.634858
1649828037,700000000, 38.693184, 16.417467, 3.853212, 0.001745, 0.146608, 1.635374, 0.100000, 0.000000, 0.000000, -0.001745, -0.146608, 0.000000, 38.686800, 16.516188, 3.838604, -0.000019, 0.000000, 1.635119
1649828037,800000000, 38.658104, 16.522562, 3.853329, 0.000000, 0.141372, 1.635374, 0.100000, 0.000000, 0.000000, 0.000000, -0.141372, 0.000000, 38.651715, 16.621358, 3.839239, 0.000000, 0.000000, 1.635374
1649828037,900000000, 38.608599, 16.671965, 3.953494, -0.000000, 0.134390, 1.635374, 0.100000, 0.000000, 0.000000, 0.000000, -0.134390, 0.000000, 38.602204, 16.770857, 3.940095, -0.000000, -0.000000, 1.635374
1649828038,0, 38.532456, 16.873975, 3.953748, -0.000000, 0.102974, 1.635374, 0.100000, 0.000000, 0.000000, 0.000000, -0.102974, 0.000000, 38.526037, 16.973238, 3.943468, -0.000000, -0.000000, 1.635374
1649828038,100000000, 38.475765, 17.038231, 3.953936, 0.000000, 0.059341, 1.635374, 0.100000, 0.000000, 0.000000, 0.000000, -0.059341, 0.000000, 38.469324, 17.137847, 3.948006, 0.000000, 0.000000, 1.635374
1649828038,200000000, 38.447764, 17.173279, 4.054030, 0.000000, 0.020944, 1.635374, 0.100000, 0.000000, 0.000000, 0.000000, -0.020944, 0.000000, 38.441313, 17.273049, 4.051936, 0.000000, 0.000000, 1.635374
1649828038,300000000, 38.394681, 17.332275, 4.054207, 0.001745, -0.005236, 1.635374, 0.100000, 0.000000, 0.000000, -0.001745, 0.005236, 0.000000, 38.388227, 17.432065, 4.054730, -0.000000, -0.000000, 1.635383
1649828038,400000000, 38.340153, 17.492213, 4.054388, 0.001745, -0.055851, 1.635374, 0.100000, 0.000000, 0.000000, -0.001745, 0.055851, 0.000000, 38.333709, 17.591849, 4.059970, -0.000003, -0.000000, 1.635471
1649828038,500000000, 38.296828, 17.630523, 4.054532, -0.000000, -0.169297, 1.635374, 0.100000, 0.000000, 0.000000, 0.000000, 0.169297, 0.000000, 38.290467, 17.728888, 4.071381, -0.000000, -0.000000, 1.635374
1649828038,600000000, 38.238564, 17.749672, 4.154727, 0.000000, -0.225147, 1.635374, 0.100000, 0.000000, 0.000000, 0.000000, 0.225147, 0.000000, 38.232273, 17.846945, 4.177052, 0.000000, 0.000000, 1.635374
1649828038,700000000, 38.212502, 17.843647, 4.154814, 0.000000, -0.226893, 1.635374, 0.100000, 0.000000, 0.000000, 0.000000, 0.226893, 0.000000, 38.206214, 17.940881, 4.177309, 0.000000, 0.000000, 1.635374
1649828038,800000000, 38.180305, 17.875986, 4.154921, 0.000000, -0.197222, 1.635374, 0.100000, 0.000000, 0.000000, 0.000000, 0.197222, 0.000000, 38.173977, 17.973843, 4.174515, 0.000000, 0.000000, 1.635374
1649828038,900000000, 38.169347, 17.928643, 4.154957, 0.001745, -0.158825, 1.635374, 0.100000, 0.000000, 0.000000, -0.001745, 0.158825, 0.000000, 38.162975, 18.027178, 4.170773, -0.000022, -0.000000, 1.635650
1649828039,0, 38.135864, 17.914322, 4.155069, 0.000000, -0.123918, 1.635374, 0.100000, 0.000000, 0.000000, 0.000000, 0.123918, 0.000000, 38.129460, 18.013349, 4.167429, 0.000000, 0.000000, 1.635374
1649828039,100000000, 38.134100, 17.934403, 4.255075, 0.000000, -0.094248, 1.635374, 0.100000, 0.000000, 0.000000, 0.000000, 0.094248, 0.000000, 38.127675, 18.033752, 4.264486, -0.000000, -0.000000, 1.635374
1649828039,200000000, 38.060849, 17.991631, 4.355320, -0.000000, -0.064577, 1.635374, 0.100000, 0.000000, 0.000000, 0.000000, 0.064577, 0.000000, 38.054409, 18.091214, 4.361773, -0.000000, 0.000000, 1.635374
